
System 2682.50 (MHz) duration 30 (sec) CPU avg. 38.04%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1596977865.0  683225632.0   2.34    1.98     1.98  
  1   2096980433.0  974124868.0   2.15    2.76     2.76  
  2   1172428793.0  457202625.0   2.56    1.41     1.41  
  3   1617054839.0  718457982.0   2.25    3.49     3.49  
  4   1078439260.0  388238687.0   2.78    1.45     1.45  
  5   1420149518.0  604498281.0   2.35    1.88     1.88  
  6   2320323104.0  918185743.0   2.53    4.14     4.14  
  7   1359430778.0  576499644.0   2.36    3.54     3.54  
  8   1153440831.0  418942833.0   2.75    2.67     2.67  
  9    8008918.0      941940.0    8.50    0.02     0.02  
  10  1633687254.0  633933923.0   2.58    2.03     2.03  
  11  1378085304.0  577470587.0   2.39    3.08     3.08  
  12  2386718623.0  955095831.0   2.50    2.84     2.84  
  13   20851869.0    5488412.0    3.80    0.03     0.03  
  14  1019651038.0  362572003.0   2.81    1.58     1.58  
  15  2460974411.0  1153435956.0  2.13    5.14     5.14  
System 2710.94 (MHz) duration 30 (sec) CPU avg. 42.94%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    12948772.0    2223282.0    5.82    0.02     0.02  
  1   1338468157.0  573010828.0   2.34    3.11     3.11  
  2   976900495.0   380693255.0   2.57    1.21     1.21  
  3   2316574409.0  1102055143.0  2.10    5.45     5.45  
  4   1537336686.0  562408513.0   2.73    2.11     2.11  
  5   1300193170.0  552570160.0   2.35    3.55     3.55  
  6   2566413182.0  1067162812.0  2.40    3.10     3.10  
  7   1294575162.0  551929840.0   2.35    3.60     3.60  
  8    30342317.0    6819147.0    4.45    0.04     0.04  
  9    7883073.0      819677.0    9.62    0.01     0.01  
  10   71761866.0    23219736.0   3.09    0.09     0.09  
  11  1270048646.0  534171034.0   2.38    2.87     2.87  
  12  2615540630.0  1121801842.0  2.33    3.12     3.12  
  13   22302808.0    5786741.0    3.85    0.03     0.03  
  14  3132511802.0  1347439491.0  2.32    3.98     3.98  
  15  6104782475.0  2007049596.0  3.04   10.65    10.65  
System 2697.26 (MHz) duration 30 (sec) CPU avg. 53.89%
 CPU     Cycles     Instructions   CPI   Avg (%)  Max (%) 
  0   824919176.0   293430039.0    2.81    1.02     1.02  
  1   2127128774.0  1000440731.0   2.13    5.72     5.72  
  2   851410049.0   325997598.0    2.61    1.07     1.07  
  3   2137145610.0  1001690751.0   2.13    5.01     5.01  
  4   1637794019.0  628998899.0    2.60    2.49     2.49  
  5   3837884644.0  1214969017.0   3.16    9.19     9.19  
  6   1002522805.0  383789415.0    2.61    1.21     1.21  
  7   1288027666.0  550436756.0    2.34    3.29     3.29  
  8   824146987.0   292473862.0    2.82    0.98     0.98  
  9    8723690.0      864229.0    10.09    0.01     0.01  
  10  1013070924.0  356966195.0    2.84    1.21     1.21  
  11   3957345.0      842837.0     4.70    0.01     0.01  
  12  2380799240.0  1003621633.0   2.37    5.14     5.14  
  13   22185494.0    5673930.0     3.91    0.03     0.03  
  14  2497028727.0  1112586411.0   2.24    3.64     3.64  
  15  6282033238.0  2090135030.0   3.01   13.87    13.87  
System 2616.72 (MHz) duration 30 (sec) CPU avg. 36.50%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    17475722.0    3918086.0    4.46    0.02     0.02  
  1   1611155749.0  716187512.0   2.25    2.51     2.51  
  2   1439146532.0  535012329.0   2.69    1.75     1.75  
  3   1284721969.0  542812572.0   2.37    2.82     2.82  
  4    43244887.0    21595060.0   2.00    0.07     0.07  
  5   5037887547.0  1816365238.0  2.77    6.23     6.23  
  6   2804136169.0  1212846802.0  2.31    4.91     4.91  
  7   897208430.0   371253511.0   2.42    1.20     1.20  
  8   952897421.0   351201149.0   2.71    1.14     1.14  
  9    8147052.0      946269.0    8.61    0.01     0.01  
  10  1781401993.0  698017203.0   2.55    3.03     3.03  
  11   9178877.0     1671053.0    5.49    0.02     0.02  
  12  1432693247.0  536857619.0   2.67    2.19     2.19  
  13  430149399.0   177290579.0   2.43    0.57     0.57  
  14  2047877005.0  912478761.0   2.24    3.58     3.58  
  15  3774079430.0  1529804297.0  2.47    6.45     6.45  
System 2578.20 (MHz) duration 30 (sec) CPU avg. 33.88%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1816316047.0  793467794.0   2.29    2.35     2.35  
  1   1652126853.0  729449505.0   2.26    2.30     2.30  
  2   3274234993.0  1514481673.0  2.16    4.64     4.64  
  3   2995413329.0  1481948180.0  2.02    7.17     7.17  
  4   1407873271.0  622547492.0   2.26    1.68     1.68  
  5   2079624079.0  958704726.0   2.17    3.73     3.73  
  6   203515202.0    88988341.0   2.29    0.25     0.25  
  7    3455282.0      874439.0    3.95    0.00     0.00  
  8   2365211461.0  1139211617.0  2.08    3.03     3.03  
  9    9234039.0      999166.0    9.24    0.01     0.01  
  10  711184729.0   119129779.0   5.97    0.90     0.90  
  11   8988301.0     1734882.0    5.18    0.02     0.02  
  12  1503392876.0  687567671.0   2.19    2.17     2.17  
  13  1306570968.0  527885707.0   2.48    1.73     1.73  
  14  1447560899.0  639104794.0   2.26    2.31     2.31  
  15  1324853372.0  535623306.0   2.47    1.58     1.58  
System 2701.17 (MHz) duration 30 (sec) CPU avg. 30.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1838673539.0  562676830.0   3.27    2.27     2.27  
  1   1344584923.0  388751612.0   3.46    3.74     3.74  
  2   2130263073.0  1112817418.0  1.91    2.64     2.64  
