
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3370.02
CRR, TCP, 1, 128, 3117.82
CRR, TCP, 1, 512, 3060.86
CRR, TCP, 1, 1024, 3020.88
CRR, TCP, 1, 9000, 2742.3
CRR, TCP, 1, 64000, 505.86
CRR, TCP, 4, 64, 15633.8
CRR, TCP, 4, 128, 15514.5
CRR, TCP, 4, 512, 15225.1
CRR, TCP, 4, 1024, 15135.9
CRR, TCP, 4, 9000, 12411.4
CRR, TCP, 4, 64000, 2213.52
CRR, TCP, 8, 64, 32120.1
CRR, TCP, 8, 128, 31528.5
CRR, TCP, 8, 512, 30914.4
CRR, TCP, 8, 1024, 30485.4
CRR, TCP, 8, 9000, 24210.9
CRR, TCP, 8, 64000, 4409.23
CRR, TCP, 16, 64, 57777.4
CRR, TCP, 16, 128, 57057.8
CRR, TCP, 16, 512, 53856.8
CRR, TCP, 16, 1024, 52951.6
CRR, TCP, 16, 9000, 42110.9
CRR, TCP, 16, 64000, 7495.88
