
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3249.25
CRR, TCP, 1, 128, 3008.8
CRR, TCP, 1, 512, 2953.15
CRR, TCP, 1, 1024, 2923.39
CRR, TCP, 1, 9000, 2647.35
CRR, TCP, 1, 64000, 492.63
CRR, TCP, 4, 64, 14791
CRR, TCP, 4, 128, 14644.5
CRR, TCP, 4, 512, 14428.1
CRR, TCP, 4, 1024, 13677.2
CRR, TCP, 4, 9000, 11797.2
CRR, TCP, 4, 64000, 2140.42
CRR, TCP, 8, 64, 30701.8
CRR, TCP, 8, 128, 30475.8
CRR, TCP, 8, 512, 29671.6
CRR, TCP, 8, 1024, 28591.8
CRR, TCP, 8, 9000, 23253.3
CRR, TCP, 8, 64000, 4031.63
CRR, TCP, 16, 64, 54182.3
CRR, TCP, 16, 128, 53506.9
CRR, TCP, 16, 512, 49850.4
CRR, TCP, 16, 1024, 49675.9
CRR, TCP, 16, 9000, 37637.7
CRR, TCP, 16, 64000, 7927.75
