
System 2470.55 (MHz) duration 30 (sec) CPU avg. 90.27%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8984010069.0  2749589600.0  3.27   12.12    12.12  
  1   3755872074.0  1690315985.0  2.22    8.59     8.59  
  2   4882825672.0  1474783788.0  3.31    7.19     7.19  
  3   3786059552.0  1703851209.0  2.22    4.78     4.78  
  4   4449509652.0  1489421001.0  2.99    5.47     5.47  
  5   3814453331.0  1692411591.0  2.25    8.07     8.07  
  6   3240258023.0  1202242727.0  2.70    3.93     3.93  
  7    3422966.0      831619.0    4.12    0.01     0.01  
  8   5106430170.0  1661131934.0  3.07    6.65     6.65  
  9   2378687378.0  847306112.0   2.81    6.17     6.17  
  10  6911966567.0  2086790401.0  3.31    8.28     8.28  
  11   4938738.0     1199835.0    4.12    0.01     0.01  
  12  7995675333.0  2503311336.0  3.19    9.53     9.53  
  13   23300693.0    5792842.0    4.02    0.04     0.04  
  14  2821131940.0  990004979.0   2.85    3.38     3.38  
  15  2372451304.0  846307420.0   2.80    6.06     6.06  
System 2485.23 (MHz) duration 30 (sec) CPU avg. 93.97%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6003578900.0  1894203880.0  3.17    8.05     8.05  
  1   3535559991.0  1611049582.0  2.19    8.40     8.40  
  2   4216267739.0  1431451840.0  2.95    5.08     5.08  
  3   3562817930.0  1624704637.0  2.19    8.44     8.44  
  4   8225238546.0  2433677955.0  3.38   15.80    15.80  
  5   3579839795.0  1607464239.0  2.23    8.66     8.66  
  6   5906377540.0  1757400039.0  3.36   12.36    12.36  
  7    8806525.0     1017634.0    8.65    0.02     0.02  
  8   3173944120.0  1131405808.0  2.81    4.08     4.08  
  9   2209822774.0  806812794.0   2.74    2.77     2.77  
  10  5943684399.0  1865353621.0  3.19    7.29     7.29  
  11   7593562.0     1880566.0    4.04    0.01     0.01  
  12  4217431266.0  1319312904.0  3.20    5.69     5.69  
  13   19435463.0    4952533.0    3.92    0.02     0.02  
  14  3520220908.0  1270583221.0  2.77    4.20     4.20  
  15  2201095799.0  805860596.0   2.73    3.09     3.09  
System 2388.20 (MHz) duration 30 (sec) CPU avg. 94.65%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5096747684.0  1535825153.0  3.32    7.11     7.11  
  1   3511572495.0  1588769024.0  2.21    4.68     4.68  
  2   4815543553.0  1561795529.0  3.08    6.78     6.78  
  3   3541053270.0  1601411614.0  2.21    7.67     7.67  
  4   5023458395.0  1602826125.0  3.13    7.66     7.66  
  5   3565389284.0  1584789081.0  2.25    4.55     4.55  
  6   4802503171.0  1631434883.0  2.94   13.34    13.34  
  7    1605154.0      479531.0    3.35    0.00     0.00  
  8   3676900657.0  1147145180.0  3.21    4.78     4.78  
  9   2193633445.0  794603563.0   2.76    3.56     3.56  
  10  5857536303.0  1779132297.0  3.29    6.98     6.98  
  11   3936418.0      866995.0    4.54    0.01     0.01  
  12  6353047009.0  2004139080.0  3.17   17.02    17.02  
  13   23109927.0    5981787.0    3.86    0.05     0.05  
  14  4740376762.0  1511067264.0  3.14    5.79     5.79  
  15  2869308486.0  962153225.0   2.98    4.68     4.68  
System 2533.12 (MHz) duration 30 (sec) CPU avg. 78.84%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7674474424.0  2305154467.0  3.33   10.10    10.10  
  1   3475975075.0  1555180824.0  2.24    4.95     4.95  
  2   5810122426.0  1868802471.0  3.11    7.85     7.85  
  3   3513059987.0  1570324427.0  2.24    6.30     6.30  
  4   7430064646.0  2251499957.0  3.30   10.29    10.29  
  5   3516816750.0  1552617947.0  2.27    4.19     4.19  
  6   3669447656.0  1162194872.0  3.16    7.04     7.04  
  7    3788294.0      971090.0    3.90    0.01     0.01  
  8   3683234202.0  1162620373.0  3.17    4.92     4.92  
  9   2170742308.0  779373237.0   2.79    3.05     3.05  
  10  3519685938.0  1110298979.0  3.17    4.19     4.19  
  11   11342934.0    2870344.0    3.95    0.02     0.02  
  12  4410416456.0  1340942928.0  3.29    5.61     5.61  
  13   15011555.0    3667660.0    4.09    0.03     0.03  
  14  5552070231.0  1797940157.0  3.09    6.70     6.70  
  15  2859619666.0  944433816.0   3.03    3.58     3.58  
System 1876.17 (MHz) duration 30 (sec) CPU avg. 78.36%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6280627816.0  2021311903.0  3.11   11.16    11.16  
  1   3289857037.0  1501703372.0  2.19    8.66     8.66  
  2   4314029183.0  1551040769.0  2.78    6.58     6.58  
  3   3860445804.0  1647949136.0  2.34    4.60     4.60  
  4   4217910672.0  1493454615.0  2.82    7.54     7.54  
  5   3320733171.0  1492932611.0  2.22    4.02     4.02  
  6   4205502158.0  1437527478.0  2.93    7.63     7.63  
  7    4766751.0     1193998.0    3.99    0.01     0.01  
  8   3339525913.0  1239626457.0  2.69    4.43     4.43  
  9   2035313340.0  742092725.0   2.74    2.50     2.50  
  10  3844639689.0  1362555768.0  2.82    5.06     5.06  
  11   5321107.0     1077073.0    4.94    0.01     0.01  
  12  4859319287.0  1614422809.0  3.01    5.81     5.81  
  13   21880159.0    5766334.0    3.79    0.05     0.05  
  14  2969390583.0  1218986054.0  2.44    3.74     3.74  
  15  4094786045.0  1246337955.0  3.29    6.58     6.58  
System 2794.38 (MHz) duration 30 (sec) CPU avg. 35.94%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1242563888.0  442342933.0   2.81    1.48     1.48  
  1   1932915614.0  764821751.0   2.53    3.34     3.34  
  2   1933230190.0  722647222.0   2.68    2.34     2.34  
  3   1945273067.0  771883926.0   2.52    4.56     4.56  
  4   2051558188.0  643090583.0   3.19    2.81     2.81  
  5   1918467155.0  730011246.0   2.63    2.31     2.31  
  6   1831939326.0  687702290.0   2.66    2.34     2.34  
  7    3865664.0      887722.0    4.35    0.01     0.01  
  8   1542181435.0  610116472.0   2.53    2.81     2.81  
  9   1716450995.0  345802917.0   4.96    4.42     4.42  
  10  2338612233.0  841658520.0   2.78    2.82     2.82  
  11   4891496.0     1057410.0    4.63    0.01     0.01  
  12  1872544498.0  730261244.0   2.56    2.24     2.24  
