
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2586.01
CRR, TCP, 1, 128, 2544.17
CRR, TCP, 1, 512, 2559.03
CRR, TCP, 1, 1024, 2538.06
CRR, TCP, 1, 9000, 2372.79
CRR, TCP, 1, 64000, 422.19
CRR, TCP, 4, 64, 11893.9
CRR, TCP, 4, 128, 11749.2
CRR, TCP, 4, 512, 11703.8
CRR, TCP, 4, 1024, 11581.5
CRR, TCP, 4, 9000, 10210.7
CRR, TCP, 4, 64000, 1937.39
CRR, TCP, 8, 64, 22325.2
CRR, TCP, 8, 128, 22159.3
CRR, TCP, 8, 512, 20416.7
CRR, TCP, 8, 1024, 22965.1
CRR, TCP, 8, 9000, 18677.3
CRR, TCP, 8, 64000, 3493.61
CRR, TCP, 16, 64, 35724.8
CRR, TCP, 16, 128, 28847.7
CRR, TCP, 16, 512, 34566.5
CRR, TCP, 16, 1024, 30413.3
CRR, TCP, 16, 9000, 28670.9
CRR, TCP, 16, 64000, 7174.43
