
System 2766.56 (MHz) duration 30 (sec) CPU avg. 93.84%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6892971050.0  2827977388.0  2.44    8.31     8.31  
  1   5025352753.0  2781793422.0  1.81   11.81    11.81  
  2   5065652922.0  1991807940.0  2.54    6.08     6.08  
  3   5015543627.0  2792322443.0  1.80   11.27    11.27  
  4   4632498180.0  1857889240.0  2.49    6.56     6.56  
  5   5008506721.0  2768095025.0  1.81   12.28    12.28  
  6   3268483127.0  1403302548.0  2.33    3.89     3.89  
  7    3872473.0      752884.0    5.14    0.01     0.01  
  8   4851753346.0  1986934184.0  2.44    5.85     5.85  
  9   2931791155.0  1379018855.0  2.13    3.84     3.84  
  10  3482953869.0  1472514739.0  2.37    4.29     4.29  
  11   4364854.0      947775.0    4.61    0.01     0.01  
  12  5735098736.0  2229910775.0  2.57    7.32     7.32  
  13   22034427.0    5619327.0    3.92    0.06     0.06  
  14  3737862120.0  1569012870.0  2.38    5.54     5.54  
  15  2928479611.0  1387657726.0  2.11    6.73     6.73  
System 2746.88 (MHz) duration 30 (sec) CPU avg. 93.39%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4413415389.0  1595266812.0  2.77    5.36     5.36  
  1   4922887563.0  2740692821.0  1.80   12.04    12.04  
  2   5393808019.0  2074527320.0  2.60    6.59     6.59  
  3   4953973439.0  2753871931.0  1.80    9.82     9.82  
  4   5321809264.0  2034688971.0  2.62    7.66     7.66  
  5   4960773779.0  2739925123.0  1.81    6.02     6.02  
  6   5209667315.0  2030358889.0  2.57    6.33     6.33  
  7    3259606.0      674757.0    4.83    0.01     0.01  
  8   3911965630.0  1754558450.0  2.23    6.16     6.16  
  9   2895429476.0  1367370414.0  2.12    3.71     3.71  
  10  5186678635.0  2218692080.0  2.34    8.07     8.07  
  11   5406047.0     1164867.0    4.64    0.01     0.01  
  12  6081675915.0  2295855096.0  2.65    7.25     7.25  
  13   22967153.0    5874663.0    3.91    0.05     0.05  
  14  5223164299.0  2081287907.0  2.51    6.29     6.29  
  15  2887854394.0  1371165652.0  2.11    8.03     8.03  
System 2686.72 (MHz) duration 30 (sec) CPU avg. 101.35%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5894956224.0  2207314408.0  2.67    7.31     7.31  
  1   4947594284.0  2760379541.0  1.79   12.08    12.08  
  2   6024065445.0  2216956672.0  2.72    7.59     7.59  
  3   4974835263.0  2773073076.0  1.79    6.03     6.03  
  4   6338957346.0  2380615752.0  2.66   10.66    10.66  
  5   4979583417.0  2757861251.0  1.81    6.73     6.73  
  6   5633283534.0  2095070708.0  2.69   12.44    12.44  
  7    4327122.0      951026.0    4.55    0.01     0.01  
  8   5015553459.0  1974981355.0  2.54    7.03     7.03  
  9   2903723778.0  1378750364.0  2.11    5.95     5.95  
  10  3494069515.0  1427317822.0  2.45    4.45     4.45  
  11   15821946.0    4044164.0    3.91    0.03     0.03  
  12  3408966038.0  1575125439.0  2.16    4.07     4.07  
  13   11871524.0    2838608.0    4.18    0.02     0.02  
  14  8050426583.0  3031386174.0  2.66    9.59     9.59  
  15  2893672317.0  1378448722.0  2.10    7.34     7.34  
System 2732.97 (MHz) duration 30 (sec) CPU avg. 96.26%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7420123806.0  2585126129.0  2.87    9.05     9.05  
  1   4938798381.0  2750716942.0  1.80   12.34    12.34  
  2   3831140654.0  1694282016.0  2.26    4.65     4.65  
  3   4962338493.0  2763321104.0  1.80   10.08    10.08  
  4   4650681458.0  1948488235.0  2.39    7.00     7.00  
  5   4972279499.0  2749695579.0  1.81    5.96     5.96  
  6   4039949368.0  1577780045.0  2.56    9.01     9.01  
  7    1652097.0      458199.0    3.61    0.00     0.00  
  8   4207053392.0  1792841253.0  2.35    9.01     9.01  
  9   2919471345.0  1379083391.0  2.12    4.04     4.04  
  10  5807507578.0  2342585561.0  2.48    7.49     7.49  
  11   4402548.0      932050.0    4.72    0.01     0.01  
  12  3934385901.0  1684060859.0  2.34    4.99     4.99  
  13   21547233.0    5610486.0    3.84    0.03     0.03  
  14  5211455281.0  2099181516.0  2.48    6.21     6.21  
  15  2911217272.0  1377687392.0  2.11    6.40     6.40  
System 2714.69 (MHz) duration 30 (sec) CPU avg. 91.12%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
