
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2972.43
CRR, TCP, 1, 128, 2979.84
CRR, TCP, 1, 512, 2930.05
CRR, TCP, 1, 1024, 3028.88
CRR, TCP, 1, 9000, 2625.34
CRR, TCP, 1, 64000, 465.63
CRR, TCP, 4, 64, 15106.1
CRR, TCP, 4, 128, 14893.7
CRR, TCP, 4, 512, 14506.1
CRR, TCP, 4, 1024, 13957.1
CRR, TCP, 4, 9000, 11866.2
CRR, TCP, 4, 64000, 2152.28
CRR, TCP, 8, 64, 30976.2
CRR, TCP, 8, 128, 30714.9
CRR, TCP, 8, 512, 29582.5
CRR, TCP, 8, 1024, 28824.4
CRR, TCP, 8, 9000, 23474.1
CRR, TCP, 8, 64000, 4320.72
CRR, TCP, 16, 64, 54214.9
CRR, TCP, 16, 128, 50276
CRR, TCP, 16, 512, 49713.3
CRR, TCP, 16, 1024, 49892.6
CRR, TCP, 16, 9000, 39133.9
CRR, TCP, 16, 64000, 7969.07
