
System 2410.23 (MHz) duration 30 (sec) CPU avg. 90.49%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5425694689.0  1946667563.0  2.79    7.50     7.50  
  1   3829203498.0  1719538250.0  2.23   10.00    10.00  
  2   6765599509.0  2107398845.0  3.21    8.39     8.39  
  3   2396661633.0  872005095.0   2.75    5.59     5.59  
  4   3878446906.0  1271026544.0  3.05    7.09     7.09  
  5   2408632972.0  862407471.0   2.79    4.19     4.19  
  6   5603038192.0  1767825907.0  3.17    7.23     7.23  
  7    1972058.0      467378.0    4.22    0.00     0.00  
  8   6643518657.0  2068076250.0  3.21    9.23     9.23  
  9   3678289945.0  1168981350.0  3.15    8.50     8.50  
  10  5805209650.0  1866347318.0  3.11    6.92     6.92  
  11  2439783850.0  864421361.0   2.82    3.93     3.93  
  12  2296262355.0  835450052.0   2.75    2.95     2.95  
  13  2437835438.0  864133954.0   2.82    3.06     3.06  
  14  2317486882.0  867291049.0   2.67    2.84     2.84  
  15  2445067808.0  860465985.0   2.84    3.06     3.06  
System 2583.59 (MHz) duration 30 (sec) CPU avg. 77.37%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    4653906503.0  1616547986.0  2.88    6.00     6.00  
  1    3545321724.0  1613411442.0  2.20    7.63     7.63  
  2    5387600565.0  1705959430.0  3.16    6.49     6.49  
  3    2195504430.0  818749408.0   2.68    2.82     2.82  
  4    4629553212.0  1486599046.0  3.11    5.52     5.52  
  5    2205956490.0  807739679.0   2.73    4.07     4.07  
  6   10665808062.0  3146166115.0  3.39   13.74    13.74  
  7     1136868.0      308359.0    3.69    0.00     0.00  
  8    3168734748.0  1027248001.0  3.08    3.85     3.85  
  9    2219521289.0  808674062.0   2.74    2.71     2.71  
  10   3080923626.0  1001218192.0  3.08    3.94     3.94  
  11   2229460496.0  812488289.0   2.74    3.49     3.49  
  12   3342464303.0  1207213014.0  2.77    4.49     4.49  
  13   2220649108.0  811402452.0   2.74    2.84     2.84  
  14   3489846187.0  1234525556.0  2.83    4.73     4.73  
  15   2234324556.0  807067940.0   2.77    5.04     5.04  
System 2021.64 (MHz) duration 30 (sec) CPU avg. 94.23%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3434231210.0  1184073570.0  2.90    5.66     5.66  
  1   3540456047.0  1603587831.0  2.21    8.65     8.65  
  2   3196920945.0  1069612689.0  2.99    3.85     3.85  
  3   2714391559.0  942871366.0   2.88    5.54     5.54  
  4   3373499315.0  1156835762.0  2.92    4.02     4.02  
  5   2185337777.0  803054258.0   2.72    2.67     2.67  
  6   4898089862.0  1563539533.0  3.13    5.88     5.88  
  7    1658720.0      498066.0    3.33    0.00     0.00  
  8   6061838507.0  1850336587.0  3.28   12.96    12.96  
  9   2208691536.0  803822774.0   2.75    3.02     3.02  
  10  5639175236.0  1827536735.0  3.09   14.92    14.92  
  11  3026449305.0  1003880481.0  3.01    6.55     6.55  
  12  4363443684.0  1395416933.0  3.13    5.67     5.67  
  13  2217799918.0  806432006.0   2.75    5.02     5.02  
  14  5628058305.0  1752870865.0  3.21    6.74     6.74  
  15  2222951089.0  801832560.0   2.77    3.08     3.08  
System 2320.00 (MHz) duration 30 (sec) CPU avg. 88.60%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2776170423.0  938845093.0   2.96    3.99     3.99  
  1   3605252740.0  1610580335.0  2.24    8.22     8.22  
  2   4584670616.0  1575068707.0  2.91    5.89     5.89  
  3   2242698756.0  818679204.0   2.74    5.36     5.36  
  4   4654209081.0  1481455327.0  3.14    5.60     5.60  
  5   2246866570.0  807549257.0   2.78    6.15     6.15  
  6   5088646052.0  1634419785.0  3.11    7.39     7.39  
  7    1872451.0      528089.0    3.55    0.00     0.00  
  8   5648131395.0  1832952606.0  3.08    8.54     8.54  
  9   2271611565.0  807676276.0   2.81    2.81     2.81  
  10  4447510103.0  1468392627.0  3.03    8.83     8.83  
  11  2278251466.0  809334587.0   2.81    5.03     5.03  
  12  3718246785.0  1186506825.0  3.13    4.69     4.69  
  13  2271708008.0  810839897.0   2.80    4.23     4.23  
  14  4314747039.0  1409404963.0  3.06    5.14     5.14  
  15  2917753162.0  958648839.0   3.04    6.74     6.74  
System 2797.11 (MHz) duration 30 (sec) CPU avg. 91.92%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4756282075.0  1663746276.0  2.86    5.67     5.67  
  1   5028916884.0  1937196756.0  2.60    6.45     6.45  
