
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3227.8
CRR, TCP, 1, 128, 2969.97
CRR, TCP, 1, 512, 2922.44
CRR, TCP, 1, 1024, 2887.63
CRR, TCP, 1, 9000, 2626.07
CRR, TCP, 1, 64000, 466.82
CRR, TCP, 4, 64, 14650.1
CRR, TCP, 4, 128, 14477.9
CRR, TCP, 4, 512, 14310.2
CRR, TCP, 4, 1024, 13706.2
CRR, TCP, 4, 9000, 11645.1
CRR, TCP, 4, 64000, 1925.2
CRR, TCP, 8, 64, 30511.9
CRR, TCP, 8, 128, 30613.3
CRR, TCP, 8, 512, 29448.9
CRR, TCP, 8, 1024, 28427.6
CRR, TCP, 8, 9000, 23354
CRR, TCP, 8, 64000, 4299.68
CRR, TCP, 16, 64, 53877.2
CRR, TCP, 16, 128, 51595.1
CRR, TCP, 16, 512, 52095.1
CRR, TCP, 16, 1024, 48090.4
CRR, TCP, 16, 9000, 39755.7
CRR, TCP, 16, 64000, 8014.8
