
System 2113.05 (MHz) duration 30 (sec) CPU avg. 86.89%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7233960740.0  2294738087.0  3.15   11.41    11.41  
  1   3785216825.0  1716973671.0  2.20    4.55     4.55  
  2   4962495651.0  1701351504.0  2.92    6.22     6.22  
  3   2356496882.0  871253204.0   2.70    3.47     3.47  
  4   3113132504.0  1080254151.0  2.88    3.73     3.73  
  5   2374572930.0  860407136.0   2.76    2.98     2.98  
  6   6819035292.0  2094392602.0  3.26    8.13     8.13  
  7    1921481.0      432292.0    4.44    0.00     0.00  
  8   4023413841.0  1336869528.0  3.01    5.47     5.47  
  9   2388165822.0  861653222.0   2.77    4.78     4.78  
  10  4517482905.0  1445952208.0  3.12    5.70     5.70  
  11  3224016781.0  1065307402.0  3.03    4.07     4.07  
  12  3613400804.0  1366211409.0  2.64    4.49     4.49  
  13  2387471976.0  862503738.0   2.77    4.86     4.86  
  14  5584416134.0  1800240923.0  3.10    6.83     6.83  
  15  4391454471.0  1346228504.0  3.26   10.19    10.19  
System 2694.38 (MHz) duration 30 (sec) CPU avg. 99.60%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5662084169.0  1913338717.0  2.96    7.00     7.00  
  1   3805596516.0  1701572173.0  2.24    8.87     8.87  
  2   4521687224.0  1367580668.0  3.31    5.58     5.58  
  3   2380444247.0  863603141.0   2.76    3.50     3.50  
  4   2430796891.0  871386764.0   2.79    3.16     3.16  
  5   2391501832.0  853081581.0   2.80    5.54     5.54  
  6   3958898746.0  1365489965.0  2.90    9.85     9.85  
  7    2748322.0     1212703.0    2.27    0.01     0.01  
  8   6092688229.0  1915248269.0  3.18   11.68    11.68  
  9   2411440952.0  853584554.0   2.83    6.16     6.16  
  10  8915407309.0  2714719798.0  3.28   11.20    11.20  
  11  2430467497.0  858673261.0   2.83    4.57     4.57  
  12  2682295392.0  943783147.0   2.84    3.20     3.20  
  13  2405033915.0  853469457.0   2.82    2.92     2.92  
  14  7646721577.0  2408610296.0  3.17   10.05    10.05  
  15  2427043664.0  851782077.0   2.85    6.30     6.30  
System 2695.00 (MHz) duration 30 (sec) CPU avg. 82.81%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3362196945.0  1130157149.0  2.97    4.16     4.16  
  1   3733676639.0  1649296556.0  2.26    4.94     4.94  
  2   4578288580.0  1443607521.0  3.17    5.60     5.60  
  3   2321802453.0  837316020.0   2.77    5.62     5.62  
  4   4252486002.0  1676951009.0  2.54    7.56     7.56  
  5   2333266153.0  825265124.0   2.83    3.72     3.72  
  6   5044098889.0  1657775259.0  3.04    6.01     6.01  
  7    1974696.0      514719.0    3.84    0.00     0.00  
  8   5325298961.0  1731884041.0  3.07    8.42     8.42  
  9   2355380313.0  826071183.0   2.85    3.01     3.01  
  10  3933020591.0  1280222809.0  3.07    5.86     5.86  
  11  2364688113.0  828008514.0   2.86    5.75     5.75  
  12  5439380262.0  1754711446.0  3.10    7.01     7.01  
  13  2360128055.0  829309106.0   2.85    5.13     5.13  
  14  3231592174.0  1134213345.0  2.85    4.36     4.36  
  15  2374207817.0  825265419.0   2.88    5.65     5.65  
System 2702.97 (MHz) duration 30 (sec) CPU avg. 102.46%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5241919481.0  1590386502.0  3.30    6.46     6.46  
  1   3758924768.0  1651854288.0  2.28    9.68     9.68  
  2   6239490961.0  1840351134.0  3.39   14.93    14.93  
  3   2321278163.0  834887242.0   2.78    4.60     4.60  
  4   6622621263.0  2074323783.0  3.19    9.87     9.87  
  5   2335707394.0  822925287.0   2.84    2.82     2.82  
  6   6276328072.0  1972424792.0  3.18   11.35    11.35  
  7    2841048.0      547674.0    5.19    0.01     0.01  
