
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2312.96
CRR, TCP, 1, 128, 2322.37
CRR, TCP, 1, 512, 2307.21
CRR, TCP, 1, 1024, 2268.04
CRR, TCP, 1, 9000, 2099.38
CRR, TCP, 1, 64000, 388.4
CRR, TCP, 4, 64, 10170.4
CRR, TCP, 4, 128, 10453
CRR, TCP, 4, 512, 10344.1
CRR, TCP, 4, 1024, 10370.7
CRR, TCP, 4, 9000, 8355.76
CRR, TCP, 4, 64000, 1774.13
CRR, TCP, 8, 64, 17066
CRR, TCP, 8, 128, 14744.8
CRR, TCP, 8, 512, 16799.2
CRR, TCP, 8, 1024, 16709.8
CRR, TCP, 8, 9000, 13091.2
CRR, TCP, 8, 64000, 3613.15
CRR, TCP, 16, 64, 20521.9
CRR, TCP, 16, 128, 27242.6
CRR, TCP, 16, 512, 19440.9
CRR, TCP, 16, 1024, 25538.4
CRR, TCP, 16, 9000, 24073.1
CRR, TCP, 16, 64000, 5776.52
