
System 2767.11 (MHz) duration 30 (sec) CPU avg. 112.70%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5014791965.0  4618684510.0  1.09    6.04     6.04  
  1   6171693877.0  8174099420.0  0.76   12.09    12.09  
  2   3634558851.0  3426479800.0  1.06    5.56     5.56  
  3   6209612489.0  8192412622.0  0.76    7.78     7.78  
  4   6235837338.0  5552071167.0  1.12   12.95    12.95  
  5   6250977203.0  8178163213.0  0.76   11.73    11.73  
  6   4514109624.0  4721339630.0  0.96    7.16     7.16  
  7    9015176.0     4054984.0    2.22    0.01     0.01  
  8   6033548039.0  4857134463.0  1.24    9.96     9.96  
  9   3523173405.0  4095039696.0  0.86    7.26     7.26  
  10  4365765555.0  3539812168.0  1.23    7.67     7.67  
  11   9819582.0     1918553.0    5.12    0.01     0.01  
  12  6524968110.0  5682393877.0  1.15   10.15    10.15  
  13   17276591.0    4935369.0    3.50    0.02     0.02  
  14  4969354167.0  4848603124.0  1.02    6.28     6.28  
  15  3473603270.0  4089712825.0  0.85    8.05     8.05  
System 2228.59 (MHz) duration 30 (sec) CPU avg. 116.12%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6226743150.0  5620929045.0  1.11    9.31     9.31  
  1   6183852826.0  8208197647.0  0.75   14.63    14.63  
  2   3813455885.0  3611204869.0  1.06    7.15     7.15  
  3   6229034138.0  8221568446.0  0.76   15.24    15.24  
  4   6689379526.0  5605255340.0  1.19    9.15     9.15  
  5   6258538987.0  8204358708.0  0.76   15.25    15.25  
  6   5704068577.0  4343745300.0  1.31    7.98     7.98  
  7    1775615.0      586391.0    3.03    0.00     0.00  
  8   4116642920.0  4407842906.0  0.93    5.15     5.15  
  9   3531429992.0  4107521273.0  0.86    7.41     7.41  
  10  4436591582.0  4458721231.0  1.00    5.85     5.85  
  11   16699252.0    3991599.0    4.18    0.04     0.04  
  12  5618245730.0  4595333052.0  1.22    8.51     8.51  
  13   9790763.0     2650521.0    3.69    0.01     0.01  
  14  4690127233.0  4772394809.0  0.98    5.59     5.59  
  15  3482424811.0  4102175658.0  0.85    4.86     4.86  
System 2487.66 (MHz) duration 30 (sec) CPU avg. 115.92%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8438677802.0  7660740171.0  1.10   11.31    11.31  
  1   6140660020.0  8159170292.0  0.75   16.13    16.13  
  2   4696253412.0  4559379559.0  1.03    5.88     5.88  
  3   6182708294.0  8170472300.0  0.76   12.12    12.12  
  4   2710886879.0  2869735747.0  0.94    3.46     3.46  
  5   8509165690.0  8717070177.0  0.98   20.04    20.04  
  6   4646330775.0  4527903838.0  1.03    5.53     5.53  
  7    4242119.0     1564364.0    2.71    0.01     0.01  
  8   4911914105.0  4786091239.0  1.03    7.06     7.06  
  9   3491024468.0  4081404227.0  0.86    9.70     9.70  
  10  4604321888.0  4504917026.0  1.02    5.96     5.96  
  11   23176459.0    5882005.0    3.94    0.05     0.05  
  12  3507216536.0  3053816088.0  1.15    4.80     4.80  
  13   3672484.0      859100.0    4.27    0.01     0.01  
  14  5361006944.0  4902257182.0  1.09    9.40     9.40  
  15  3445364740.0  4083314597.0  0.84    4.46     4.46  
System 2068.91 (MHz) duration 30 (sec) CPU avg. 80.90%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2899946725.0  3356759040.0  0.86    4.67     4.67  
  1   6071888205.0  8026169447.0  0.76   11.94    11.94  
  2   4532008552.0  4468877637.0  1.01    5.45     5.45  
  3   6112012182.0  8037157611.0  0.76    7.65     7.65  
  4   3788108227.0  4269615281.0  0.89    4.71     4.71  
  5   6157055566.0  8024008835.0  0.77    7.96     7.96  
  6   4234151995.0  4379943329.0  0.97    5.58     5.58  
  7    1425408.0      454101.0    3.14    0.00     0.00  
  8   4834511809.0  4526822845.0  1.07    6.00     6.00  
  9   3460813394.0  4013712534.0  0.86    4.42     4.42  
  10  6384704137.0  5780667904.0  1.10    7.61     7.61  
  11   22527435.0    5822079.0    3.87    0.04     0.04  
  12  4275053321.0  4355351376.0  0.98    5.87     5.87  
  13   3726456.0      893486.0    4.17    0.01     0.01  
  14  3794877081.0  4058477137.0  0.94    4.84     4.84  
  15  3417195551.0  4014230435.0  0.85    4.12     4.12  
System 1624.61 (MHz) duration 30 (sec) CPU avg. 106.83%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4988866108.0  4722854047.0  1.06   10.24    10.24  
  1   5840433136.0  7513014790.0  0.78   13.77    13.77  
  2   4641531993.0  4611769024.0  1.01    5.55     5.55  
  3   5877504899.0  7522605064.0  0.78    7.17     7.17  
