
System 1683.28 (MHz) duration 30 (sec) CPU avg. 166.59%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   22379181817.0  6269721652.0  3.57   44.32    44.32  
  1    3396496870.0  1744049108.0  1.95    4.53     4.53  
  2    2239894845.0  943607586.0   2.37    5.77     5.77  
  3    3415765046.0  1750837002.0  1.95    4.55     4.55  
  4    7711997151.0  2214491853.0  3.48    9.20     9.20  
  5    5838032053.0  2322736006.0  2.51    7.79     7.79  
  6    9424322805.0  2829758084.0  3.33   11.41    11.41  
  7    348801966.0    74701016.0   4.67    0.47     0.47  
  8   13270380446.0  3666581584.0  3.62   17.23    17.23  
  9    2114638495.0  903507983.0   2.34    2.82     2.82  
  10   6960890883.0  2191373664.0  3.18   15.26    15.26  
  11   343966546.0    73846811.0   4.66    0.45     0.45  
  12  15934029864.0  4546035808.0  3.51   19.97    19.97  
  13   288776966.0    54182033.0   5.33    0.38     0.38  
  14  10053232998.0  2900306076.0  3.47   19.60    19.60  
  15   2128564264.0  925498918.0   2.30    2.88     2.88  
System 2477.11 (MHz) duration 30 (sec) CPU avg. 128.38%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   19592530450.0  5433143444.0  3.61   26.36    26.36  
  1    3398707145.0  1718665580.0  1.98    4.15     4.15  
  2    9695753440.0  2864799489.0  3.38   13.43    13.43  
  3    3440906273.0  1751835504.0  1.96    4.82     4.82  
  4    5887001300.0  1738355799.0  3.39    7.02     7.02  
  5    3470870103.0  1740754827.0  1.99    4.86     4.86  
  6   13533783060.0  3829433700.0  3.53   16.43    16.43  
  7    339079661.0    71833113.0   4.72    0.45     0.45  
  8    6046346847.0  1829780055.0  3.30    8.66     8.66  
  9    2140869464.0  906787622.0   2.36    2.83     2.83  
  10  12705635490.0  3582247436.0  3.55   16.10    16.10  
  11   377250545.0    83133870.0   4.54    0.54     0.54  
  12   6066818848.0  2139078821.0  2.84    7.28     7.28  
  13   263154777.0    43725612.0   6.02    0.33     0.33  
  14   9517090265.0  2824938922.0  3.37   12.12    12.12  
  15   2185816728.0  931456674.0   2.35    2.98     2.98  
System 2414.45 (MHz) duration 30 (sec) CPU avg. 124.41%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   13133493854.0  3680725782.0  3.57   18.13    18.13  
  1    3360799963.0  1698086245.0  1.98    5.40     5.40  
  2    8189370178.0  2461146497.0  3.33   10.89    10.89  
  3    3374609544.0  1718260374.0  1.96    5.19     5.19  
  4    5717194275.0  1797817325.0  3.18    6.86     6.86  
  5    3432368317.0  1719860733.0  2.00    4.70     4.70  
  6   10380609452.0  3020532657.0  3.44   12.79    12.79  
  7    265254676.0    62109824.0   4.27    0.38     0.38  
  8    9493217523.0  2769457809.0  3.43   11.51    11.51  
  9    2065600661.0  875239814.0   2.36    2.51     2.51  
  10   7087716095.0  2097595604.0  3.38   10.87    10.87  
  11   205518942.0    55389480.0   3.71    0.26     0.26  
  12  13996315271.0  4051581522.0  3.45   21.85    21.85  
  13   192997391.0    45502080.0   4.24    0.39     0.39  
  14   7583378957.0  2288670432.0  3.31    9.59     9.59  
  15   2095337049.0  896772790.0   2.34    3.09     3.09  
System 1904.06 (MHz) duration 30 (sec) CPU avg. 112.66%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   11146671994.0  3188065035.0  3.50   19.51    19.51  
  1    3284334394.0  1680680705.0  1.95    4.73     4.73  
  2    4602855786.0  1551721393.0  2.97    5.67     5.67  
  3    3329741954.0  1704371231.0  1.95    5.45     5.45  
  4    6815535612.0  2183412847.0  3.12    8.12     8.12  
  5    3447662223.0  1731235166.0  1.99    4.68     4.68  
  6    8099792559.0  2435826539.0  3.33    9.73     9.73  
  7    205510874.0    48480067.0   4.24    0.29     0.29  
  8    6073051080.0  1755070675.0  3.46    7.38     7.38  
  9    2053118867.0  886220200.0   2.32    2.70     2.70  
  10  12650344088.0  3615415427.0  3.50   15.14    15.14  
  11   219945702.0    63841910.0   3.45    0.29     0.29  
  12  14183773011.0  4100256815.0  3.46   17.95    17.95  
  13   220190755.0    38772412.0   5.68    0.40     0.40  
  14   5216909677.0  1589607985.0  3.28    8.02     8.02  
  15   2034051186.0  886757375.0   2.29    2.57     2.57  
System 2728.51 (MHz) duration 30 (sec) CPU avg. 144.65%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   12454983992.0  3736506366.0  3.33   15.22    15.22  
  1    3018131718.0  1505386259.0  2.00    4.83     4.83  
  2    8447198173.0  2614901346.0  3.23   10.91    10.91  
  3    3067229365.0  1527976908.0  2.01    4.15     4.15  
  4   10457425063.0  2967199744.0  3.52   12.46    12.46  
  5    3143828564.0  1548187028.0  2.03    7.23     7.23  
  6    9790668918.0  2913914416.0  3.36   11.77    11.77  
  7    277425375.0    57299912.0   4.84    0.40     0.40  
  8   10701997143.0  3050666162.0  3.51   13.81    13.81  
  9    1913633479.0  790716720.0   2.42    2.62     2.62  
  10   8736400902.0  2532846826.0  3.45   10.99    10.99  
  11   376338684.0    85904576.0   4.38    0.62     0.62  
  12  14920664741.0  4527828365.0  3.30   17.96    17.96  
  13   333351108.0    53238225.0   6.26    0.40     0.40  
  14  12867017214.0  3743646629.0  3.44   28.63    28.63  
  15   1963852127.0  812684869.0   2.42    2.66     2.66  
System 1495.31 (MHz) duration 30 (sec) CPU avg. 58.85%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3115144697.0  899892359.0   3.46    6.94     6.94  
  1   1854139096.0  813041588.0   2.28    2.74     2.74  
  2   1722714144.0  616792954.0   2.79    3.58     3.58  
  3   1909177594.0  831928832.0   2.29    2.57     2.57  
  4   2539439055.0  772727053.0   3.29    3.33     3.33  
  5   1913880455.0  831644188.0   2.30    2.63     2.63  
  6   6718352935.0  1970665606.0  3.41    8.01     8.01  
  7   232801761.0    48222631.0   4.83    0.41     0.41  
  8   9001263612.0  2560848762.0  3.51   10.80    10.80  
  9   1675315909.0  408136011.0   4.10    2.26     2.26  
  10  1723391997.0  707388154.0   2.44    2.18     2.18  
  11  362029750.0    82551543.0   4.39    0.43     0.43  
  12  2053583481.0  737604261.0   2.78    4.30     4.30  
  13  296905712.0    46452478.0   6.39    0.36     0.36  
  14  4313223024.0  1306638604.0  3.30    6.07     6.07  
  15  1661722341.0  423932149.0   3.92    2.23     2.23  
System 2266.09 (MHz) duration 30 (sec) CPU avg. 345.07%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   28803220210.0  10196032177.0  2.82   42.37    42.37  
  1   12507683844.0   7442024002.0  1.68   20.95    20.95  
  2   17706607576.0   6650012730.0  2.66   31.17    31.17  
  3   12285718994.0   7394508113.0  1.66   16.78    16.78  
  4   25714347137.0   8677358471.0  2.96   33.00    33.00  
  5   12313220172.0   7364830491.0  1.67   16.81    16.81  
  6   26860306153.0   8966991602.0  3.00   32.92    32.92  
  7    351374528.0     80780146.0   4.35    0.48     0.48  
  8   16673878510.0   5649673102.0  2.95   19.85    19.85  
  9    6534220591.0   3840532562.0  1.70    8.50     8.50  
  10  26934383741.0   8979627323.0  3.00   39.35    39.35  
  11   429160255.0    106219941.0   4.04    0.95     0.95  
  12  25994788656.0   8774399534.0  2.96   32.31    32.31  
  13   358605698.0     87919784.0   4.08    0.45     0.45  
  14  26983245870.0   8999493721.0  3.00   37.05    37.05  
  15   6470435894.0   3830242256.0  1.69   12.13    12.13  
System 1919.38 (MHz) duration 30 (sec) CPU avg. 317.38%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   24906068230.0  9824430336.0  2.54   43.25    43.25  
  1   12509769035.0  7484520936.0  1.67   15.99    15.99  
  2   18142562027.0  6481161217.0  2.80   33.00    33.00  
  3   12349357393.0  7454580441.0  1.66   20.37    20.37  
  4   17346592123.0  6271413304.0  2.77   23.64    23.64  
  5   12457297942.0  7468765030.0  1.67   16.24    16.24  
  6   15086627662.0  5581181413.0  2.70   18.16    18.16  
  7    366403042.0    68932165.0   5.32    0.65     0.65  
  8   11980383657.0  4933951021.0  2.43   14.28    14.28  
