
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3262.92
CRR, TCP, 1, 128, 3021.87
CRR, TCP, 1, 512, 2950.82
CRR, TCP, 1, 1024, 2949.77
CRR, TCP, 1, 9000, 2701.96
CRR, TCP, 1, 64000, 488.15
CRR, TCP, 4, 64, 15129
CRR, TCP, 4, 128, 13708.6
CRR, TCP, 4, 512, 14477.7
CRR, TCP, 4, 1024, 13296.5
CRR, TCP, 4, 9000, 11983.9
CRR, TCP, 4, 64000, 2179.42
CRR, TCP, 8, 64, 29721.1
CRR, TCP, 8, 128, 28906.7
CRR, TCP, 8, 512, 28278.4
CRR, TCP, 8, 1024, 26495.4
CRR, TCP, 8, 9000, 22844.4
CRR, TCP, 8, 64000, 3888.39
CRR, TCP, 16, 64, 51151.9
CRR, TCP, 16, 128, 51882.3
CRR, TCP, 16, 512, 48805.4
CRR, TCP, 16, 1024, 47604.2
CRR, TCP, 16, 9000, 39409.2
CRR, TCP, 16, 64000, 7951.83
