
System 1568.75 (MHz) duration 30 (sec) CPU avg. 64.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4417229203.0  1638940084.0  2.70    9.39     9.39  
  1   3316214283.0  1833104782.0  1.81    5.32     5.32  
  2   2392783934.0  946757058.0   2.53    6.04     6.04  
  3   3349398390.0  1853119794.0  1.81    5.29     5.29  
  4   6351723349.0  2213403184.0  2.87    8.54     8.54  
  5   3350724784.0  1817520470.0  1.84    4.39     4.39  
  6   3774650311.0  1439231796.0  2.62    4.54     4.54  
  7   133869225.0    42151966.0   3.18    0.19     0.19  
  8   2471590999.0  1077563894.0  2.29    2.95     2.95  
  9   1861544650.0  942578220.0   1.97    2.74     2.74  
  10  2952965864.0  1322030456.0  2.23    3.54     3.54  
  11  105373249.0    38962022.0   2.70    0.14     0.14  
  12  3374979466.0  1342627232.0  2.51    4.61     4.61  
  13   35864098.0    5675490.0    6.32    0.05     0.05  
  14  2857464089.0  1221991296.0  2.34    4.33     4.33  
  15  1877830531.0  960825831.0   1.95    2.69     2.69  
System 1981.64 (MHz) duration 30 (sec) CPU avg. 167.39%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    8335329815.0  2525844254.0  3.30   14.02    14.02  
  1    3389832488.0  1727925126.0  1.96    4.52     4.52  
  2   10068881828.0  2936642572.0  3.43   12.19    12.19  
  3    3448884548.0  1760097911.0  1.96    4.59     4.59  
  4   10687087193.0  3126451715.0  3.42   20.46    20.46  
  5    3460065307.0  1735953574.0  1.99    4.57     4.57  
  6   12101502202.0  3406276744.0  3.55   14.87    14.87  
  7    548468078.0   104882475.0   5.23    0.87     0.87  
  8   15010960301.0  4211945715.0  3.56   17.88    17.88  
  9    2141269604.0  911133332.0   2.35    2.85     2.85  
  10  14233252848.0  3994326638.0  3.56   16.96    16.96  
  11   260688663.0    63550488.0   4.10    0.32     0.32  
  12  20117912484.0  5629147506.0  3.57   47.44    47.44  
  13   226209126.0    42552259.0   5.32    0.31     0.31  
  14   1906953088.0  771430204.0   2.47    2.75     2.75  
  15   2156302227.0  933672331.0   2.31    2.79     2.79  
System 1739.22 (MHz) duration 30 (sec) CPU avg. 179.25%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   10388328459.0  3020157068.0  3.44   19.91    19.91  
  1    3623907081.0  1790832126.0  2.02    7.31     7.31  
  2   11542830208.0  3278542667.0  3.52   14.25    14.25  
  3    3454953700.0  1746897541.0  1.98    4.42     4.42  
  4    3494012274.0  1164670326.0  3.00    6.56     6.56  
  5    3441613034.0  1726970645.0  1.99    4.38     4.38  
  6   12522706913.0  3630412532.0  3.45   15.01    15.01  
  7    360350443.0    58482527.0   6.16    0.87     0.87  
  8   10480484055.0  3065053668.0  3.42   12.49    12.49  
  9    2156667785.0  910023403.0   2.37    2.74     2.74  
  10   8013668646.0  2421854412.0  3.31    9.61     9.61  
  11   314655842.0    72765837.0   4.32    0.67     0.67  
  12  23589113717.0  6377781973.0  3.70   49.30    49.30  
  13   278702720.0    47246575.0   5.90    0.59     0.59  
  14  11747224912.0  3373296365.0  3.48   28.39    28.39  
  15   2148837218.0  920191404.0   2.34    2.76     2.76  
System 1200.08 (MHz) duration 30 (sec) CPU avg. 155.75%
