
System 2797.97 (MHz) duration 30 (sec) CPU avg. 34.07%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1460722023.0  640731213.0   2.28    1.74     1.74  
  1   1411556107.0  710777986.0   1.99    1.88     1.88  
  2    1014113.0      325211.0    3.12    0.00     0.00  
  3   1207397866.0  608799270.0   1.98    1.63     1.63  
  4   1502920863.0  677296652.0   2.22    1.96     1.96  
  5   3015417491.0  1387693689.0  2.17    4.02     4.02  
  6   1462829662.0  641507519.0   2.28    1.76     1.76  
  7    68909394.0    33408562.0   2.06    0.09     0.09  
  8   1441093238.0  696386918.0   2.07    1.81     1.81  
  9    53830972.0    24759358.0   2.17    0.07     0.07  
  10  2679056693.0  1017470178.0  2.63    3.26     3.26  
  11  1285052174.0  643676348.0   2.00    1.71     1.71  
  12  1559703739.0  711916293.0   2.19    3.88     3.88  
  13  2432362406.0  1230271436.0  1.98    3.24     3.24  
  14  2113190624.0  996806420.0   2.12    4.69     4.69  
  15  1792594827.0  761136714.0   2.36    2.32     2.32  
System 2726.56 (MHz) duration 30 (sec) CPU avg. 28.89%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   649409320.0   246015979.0   2.64    0.79     0.79  
  1   2063689875.0  1009420433.0  2.04    2.62     2.62  
  2   937457567.0   370564134.0   2.53    1.12     1.12  
  3   3006629934.0  1502249060.0  2.00    4.15     4.15  
  4   1618938230.0  648969894.0   2.49    2.23     2.23  
  5   1797302098.0  879129179.0   2.04    2.41     2.41  
  6   644740484.0   246999463.0   2.61    0.83     0.83  
  7   1303513817.0  598050760.0   2.18    1.67     1.67  
  8   1250107684.0  524755721.0   2.38    1.57     1.57  
  9    42005655.0    19727823.0   2.13    0.06     0.06  
  10  415989771.0   156779812.0   2.65    0.52     0.52  
  11  143524481.0    62527639.0   2.30    0.20     0.20  
  12  2988703550.0  1378904861.0  2.17    3.88     3.88  
  13  183546431.0    86740585.0   2.12    0.46     0.46  
  14  2868445559.0  1356684010.0  2.11    3.42     3.42  
  15  1702984489.0  821314314.0   2.07    2.97     2.97  
System 2430.00 (MHz) duration 30 (sec) CPU avg. 31.98%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    25125384.0    2955032.0    8.50    0.03     0.03  
  1   2411575614.0  1183504274.0  2.04    3.00     3.00  
  2   1570830195.0  595971868.0   2.64    1.89     1.89  
  3   3406389189.0  1694294976.0  2.01    5.22     5.22  
  4   1640062657.0  634133871.0   2.59    2.85     2.85  
  5   1433069743.0  657820255.0   2.18    1.94     1.94  
  6   1595670972.0  600544022.0   2.66    1.92     1.92  
  7   1389193629.0  621548229.0   2.24    2.22     2.22  
  8   996958578.0   444407448.0   2.24    1.19     1.19  
  9    40546947.0    17982590.0   2.25    0.05     0.05  
  10  2442142710.0  1043482265.0  2.34    4.31     4.31  
  11  132248329.0    56522151.0   2.34    0.22     0.22  
  12  2384418871.0  1033313717.0  2.31    3.44     3.44  
  13  113373485.0    42782815.0   2.65    0.24     0.24  
  14  1200854443.0  447625902.0   2.68    1.54     1.54  
  15  1430729231.0  650378994.0   2.20    1.90     1.90  
System 2337.11 (MHz) duration 30 (sec) CPU avg. 32.80%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    17805568.0    4608195.0    3.86    0.03     0.03  
  1   1959781658.0  918500749.0   2.13    2.92     2.92  
  2   1559538966.0  587425003.0   2.65    3.29     3.29  
  3   1898562734.0  890982272.0   2.13    2.42     2.42  
  4   1632647359.0  627202283.0   2.60    2.47     2.47  
  5   1459925979.0  653103447.0   2.24    1.96     1.96  
  6   1586109035.0  591727052.0   2.68    1.91     1.91  
  7   1399391460.0  608160815.0   2.30    1.87     1.87  
  8    29344349.0    5706906.0    5.14    0.03     0.03  
  9    40080906.0    19198909.0   2.09    0.05     0.05  
  10  2684211747.0  1177520984.0  2.28    3.20     3.20  
