
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3374.8
CRR, TCP, 1, 128, 3133.93
CRR, TCP, 1, 512, 3127.63
CRR, TCP, 1, 1024, 3065.63
CRR, TCP, 1, 9000, 2845.66
CRR, TCP, 1, 64000, 513.09
CRR, TCP, 4, 64, 15708.9
CRR, TCP, 4, 128, 16168.6
CRR, TCP, 4, 512, 15122.5
CRR, TCP, 4, 1024, 14694.8
CRR, TCP, 4, 9000, 12509.6
CRR, TCP, 4, 64000, 2255.11
CRR, TCP, 8, 64, 32072.1
CRR, TCP, 8, 128, 31700.8
CRR, TCP, 8, 512, 30946.7
CRR, TCP, 8, 1024, 29842.6
CRR, TCP, 8, 9000, 24207.2
CRR, TCP, 8, 64000, 4457.16
CRR, TCP, 16, 64, 58035.5
CRR, TCP, 16, 128, 57179.5
CRR, TCP, 16, 512, 55092.3
CRR, TCP, 16, 1024, 53118.8
CRR, TCP, 16, 9000, 42027.3
CRR, TCP, 16, 64000, 8106.86
